timestamp,axis,direction,speed_level,zoom,repeat_idx,position
2026-05-25 10:22:24.343,pan,1,1,10,0,1800.0
2026-05-25 10:22:24.484,pan,1,1,10,0,1798.0
2026-05-25 10:22:24.631,pan,1,1,10,0,1797.0
2026-05-25 10:22:24.775,pan,1,1,10,0,1795.0
2026-05-25 10:22:24.915,pan,1,1,10,0,1793.0
2026-05-25 10:22:25.036,pan,1,1,10,0,1791.0
2026-05-25 10:22:25.169,pan,1,1,10,0,1790.0
2026-05-25 10:22:25.309,pan,1,1,10,0,1788.0
2026-05-25 10:22:25.447,pan,1,1,10,0,1786.0
2026-05-25 10:22:25.590,pan,1,1,10,0,1784.0
2026-05-25 10:22:25.710,pan,1,1,10,0,1783.0
2026-05-25 10:22:25.834,pan,1,1,10,0,1781.0
2026-05-25 10:22:25.974,pan,1,1,10,0,1779.0
2026-05-25 10:22:26.112,pan,1,1,10,0,1778.0
2026-05-25 10:22:26.252,pan,1,1,10,0,1776.0
2026-05-25 10:22:26.389,pan,1,1,10,0,1774.0
2026-05-25 10:22:26.520,pan,1,1,10,0,1773.0
2026-05-25 10:22:26.664,pan,1,1,10,0,1771.0
2026-05-25 10:22:26.803,pan,1,1,10,0,1769.0
2026-05-25 10:22:26.952,pan,1,1,10,0,1767.0
2026-05-25 10:22:27.086,pan,1,1,10,0,1766.0
2026-05-25 10:22:27.206,pan,1,1,10,0,1764.0
2026-05-25 10:22:27.353,pan,1,1,10,0,1762.0
2026-05-25 10:22:27.491,pan,1,1,10,0,1760.0
2026-05-25 10:22:27.630,pan,1,1,10,0,1759.0
2026-05-25 10:22:27.769,pan,1,1,10,0,1757.0
2026-05-25 10:22:27.923,pan,1,1,10,0,1755.0
2026-05-25 10:22:28.070,pan,1,1,10,0,1753.0
2026-05-25 10:22:28.209,pan,1,1,10,0,1751.0
2026-05-25 10:22:28.351,pan,1,1,10,0,1750.0
2026-05-25 10:22:28.486,pan,1,1,10,0,1748.0
2026-05-25 10:22:28.640,pan,1,1,10,0,1746.0
2026-05-25 10:22:28.787,pan,1,1,10,0,1744.0
2026-05-25 10:22:28.921,pan,1,1,10,0,1742.0
2026-05-25 10:22:29.068,pan,1,1,10,0,1741.0
2026-05-25 10:22:29.201,pan,1,1,10,0,1739.0
2026-05-25 10:22:29.348,pan,1,1,10,0,1737.0
2026-05-25 10:22:29.481,pan,1,1,10,0,1735.0
2026-05-25 10:22:29.624,pan,1,1,10,0,1733.0
2026-05-25 10:22:29.765,pan,1,1,10,0,1732.0
2026-05-25 10:22:29.910,pan,1,1,10,0,1730.0
2026-05-25 10:22:30.042,pan,1,1,10,0,1728.0
2026-05-25 10:22:30.184,pan,1,1,10,0,1726.0
2026-05-25 10:22:30.323,pan,1,1,10,0,1725.0
2026-05-25 10:22:30.470,pan,1,1,10,0,1723.0
2026-05-25 10:22:30.589,pan,1,1,10,0,1721.0
2026-05-25 10:22:30.727,pan,1,1,10,0,1719.0
2026-05-25 10:22:30.870,pan,1,1,10,0,1718.0
2026-05-25 10:22:31.013,pan,1,1,10,0,1716.0
2026-05-25 10:22:31.222,pan,1,1,10,0,1714.0
2026-05-25 10:22:31.353,pan,1,1,10,0,1712.0
2026-05-25 10:22:31.491,pan,1,1,10,0,1710.0
2026-05-25 10:22:31.630,pan,1,1,10,0,1708.0
2026-05-25 10:22:31.768,pan,1,1,10,0,1706.0
2026-05-25 10:22:31.904,pan,1,1,10,0,1705.0
2026-05-25 10:22:32.032,pan,1,1,10,0,1703.0
2026-05-25 10:22:32.164,pan,1,1,10,0,1701.0
2026-05-25 10:22:32.310,pan,1,1,10,0,1700.0
2026-05-25 10:22:32.443,pan,1,1,10,0,1698.0
2026-05-25 10:22:32.582,pan,1,1,10,0,1696.0
2026-05-25 10:22:32.740,pan,1,1,10,0,1694.0
2026-05-25 10:22:32.877,pan,1,1,10,0,1692.0
2026-05-25 10:22:33.027,pan,1,1,10,0,1690.0
2026-05-25 10:22:33.159,pan,1,1,10,0,1689.0
2026-05-25 10:22:33.307,pan,1,1,10,0,1687.0
2026-05-25 10:22:33.443,pan,1,1,10,0,1685.0
2026-05-25 10:22:33.589,pan,1,1,10,0,1683.0
2026-05-25 10:22:33.724,pan,1,1,10,0,1682.0
2026-05-25 10:22:33.863,pan,1,1,10,0,1680.0
2026-05-25 10:22:34.002,pan,1,1,10,0,1678.0
2026-05-25 10:22:34.150,pan,1,1,10,0,1676.0
2026-05-25 10:22:34.304,pan,1,1,10,0,1674.0
2026-05-25 10:22:34.438,pan,1,1,10,0,1673.0
2026-05-25 10:22:34.580,pan,1,1,10,0,1671.0
2026-05-25 10:22:34.721,pan,1,1,10,0,1669.0
2026-05-25 10:22:34.864,pan,1,1,10,0,1667.0
2026-05-25 10:22:34.991,pan,1,1,10,0,1666.0
2026-05-25 10:22:35.132,pan,1,1,10,0,1664.0
2026-05-25 10:22:35.277,pan,1,1,10,0,1662.0
2026-05-25 10:22:35.421,pan,1,1,10,0,1660.0
2026-05-25 10:22:35.551,pan,1,1,10,0,1659.0
2026-05-25 10:22:35.693,pan,1,1,10,0,1657.0
2026-05-25 10:22:35.831,pan,1,1,10,0,1655.0
2026-05-25 10:22:35.982,pan,1,1,10,0,1653.0
2026-05-25 10:22:36.110,pan,1,1,10,0,1651.0
2026-05-25 10:22:36.240,pan,1,1,10,0,1650.0
2026-05-25 10:22:36.389,pan,1,1,10,0,1648.0
2026-05-25 10:22:36.520,pan,1,1,10,0,1646.0
2026-05-25 10:22:36.661,pan,1,1,10,0,1644.0
2026-05-25 10:22:36.800,pan,1,1,10,0,1643.0
2026-05-25 10:22:36.947,pan,1,1,10,0,1641.0
2026-05-25 10:22:37.082,pan,1,1,10,0,1639.0
2026-05-25 10:22:37.223,pan,1,1,10,0,1637.0
2026-05-25 10:22:37.375,pan,1,1,10,0,1636.0
2026-05-25 10:22:37.524,pan,1,1,10,0,1634.0
2026-05-25 10:22:37.643,pan,1,1,10,0,1632.0
2026-05-25 10:22:37.783,pan,1,1,10,0,1630.0
2026-05-25 10:22:37.925,pan,1,1,10,0,1629.0
2026-05-25 10:22:38.069,pan,1,1,10,0,1627.0
2026-05-25 10:22:38.205,pan,1,1,10,0,1625.0
2026-05-25 10:22:38.323,pan,1,1,10,0,1624.0
2026-05-25 10:22:38.441,pan,1,1,10,0,1622.0
2026-05-25 10:22:38.579,pan,1,1,10,0,1620.0
2026-05-25 10:22:38.718,pan,1,1,10,0,1619.0
2026-05-25 10:22:38.863,pan,1,1,10,0,1617.0
2026-05-25 10:22:39.001,pan,1,1,10,0,1615.0
2026-05-25 10:22:39.140,pan,1,1,10,0,1613.0
2026-05-25 10:22:39.278,pan,1,1,10,0,1612.0
2026-05-25 10:22:39.423,pan,1,1,10,0,1610.0
2026-05-25 10:22:39.562,pan,1,1,10,0,1608.0
2026-05-25 10:22:43.860,pan,1,1,10,1,1800.0
2026-05-25 10:22:43.999,pan,1,1,10,1,1798.0
2026-05-25 10:22:44.142,pan,1,1,10,1,1797.0
2026-05-25 10:22:44.280,pan,1,1,10,1,1795.0
2026-05-25 10:22:44.418,pan,1,1,10,1,1793.0
2026-05-25 10:22:44.559,pan,1,1,10,1,1791.0
2026-05-25 10:22:44.701,pan,1,1,10,1,1789.0
2026-05-25 10:22:44.839,pan,1,1,10,1,1788.0
2026-05-25 10:22:44.980,pan,1,1,10,1,1786.0
2026-05-25 10:22:45.118,pan,1,1,10,1,1784.0
2026-05-25 10:22:45.266,pan,1,1,10,1,1782.0
2026-05-25 10:22:45.397,pan,1,1,10,1,1781.0
2026-05-25 10:22:45.538,pan,1,1,10,1,1779.0
2026-05-25 10:22:45.679,pan,1,1,10,1,1777.0
2026-05-25 10:22:45.822,pan,1,1,10,1,1775.0
2026-05-25 10:22:45.960,pan,1,1,10,1,1774.0
2026-05-25 10:22:46.100,pan,1,1,10,1,1772.0
2026-05-25 10:22:46.238,pan,1,1,10,1,1770.0
2026-05-25 10:22:46.382,pan,1,1,10,1,1768.0
2026-05-25 10:22:46.518,pan,1,1,10,1,1767.0
2026-05-25 10:22:46.659,pan,1,1,10,1,1765.0
2026-05-25 10:22:46.814,pan,1,1,10,1,1763.0
2026-05-25 10:22:46.955,pan,1,1,10,1,1761.0
2026-05-25 10:22:47.095,pan,1,1,10,1,1759.0
2026-05-25 10:22:47.235,pan,1,1,10,1,1757.0
2026-05-25 10:22:47.373,pan,1,1,10,1,1756.0
2026-05-25 10:22:47.516,pan,1,1,10,1,1754.0
2026-05-25 10:22:47.662,pan,1,1,10,1,1752.0
2026-05-25 10:22:47.778,pan,1,1,10,1,1751.0
2026-05-25 10:22:47.918,pan,1,1,10,1,1749.0
2026-05-25 10:22:48.064,pan,1,1,10,1,1747.0
